aib_ID,aib_FirstName,aib_LastName,aib_Email,aib_Phone,aib_Age,aib_YearsExperience,aib_AnnualIncome,aib_PostCode,aib_FamilySize,aib_FamilyStatus,aib_AverageMonthlySpend,aib_EducationLevel,aib_OutstandingMortgage,aib_Job,aib_HasLoanAccount,aib_HasDepositAccount,aib_HasCDAccount,aib_HasCreditCard,aib_RegisteredOnline,aib_LoanApproved
CustId_1000,Alton,Bozeman,a.bozeman@adatum.com,559-555-0175,29,24,27799,42510,4,Married,171,Doctrate,134540,Risk manager,FALSE,TRUE,TRUE,FALSE,FALSE,
CustId_1001,Luella,Hardy,l.hardy@adventure-works.com,429-555-0186,61,20,171933,95051-5037,2,Married,1612,Associate,500868,Advertising account planner,FALSE,FALSE,FALSE,TRUE,TRUE,
CustId_1002,Kasey,Francis,k.francis@alpineskihouse.com,682-555-0126,40,36,101726,12696,2,Married,7239,Diploma,56638,Private music teacher,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
CustId_1003,Lorie,Garza,l.garza@bellowscollege.com,636-555-0126,39,32,105818,2293,2,Married,9845,Associate,468737,Museum/gallery curator,FALSE,TRUE,FALSE,TRUE,FALSE,
CustId_1004,Wilson,Keyser,w.keyser@bestforyouorganics.com,411-555-0124,39,38,94668,23612,1,Single,4832,Doctrate,478514,Personal assistant,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
CustId_1005,Gene,Strom,g.strom@fabrikam.com,618-555-0131,21,28,163907,53948,5,Married,2369,High School,100420,Waste management officer,FALSE,FALSE,TRUE,FALSE,FALSE,
CustId_1006,Keith,Ledet,k.ledet@fourthcoffee.com,624-555-0104,26,37,143698,18746,1,Single,7161,Professional,24111,Dancer,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
CustId_1007,Joel,Novotny,j.novotny@lamnahealtcare.com,513-555-0124,25,38,149792,17354,3,Married,8478,Masters,387580,Higher education lecturer,FALSE,FALSE,FALSE,TRUE,TRUE,
CustId_1008,Rudolph,Barringer,r.barringer@margiestravel.com,679-555-0107,65,22,8788,71260-8890,1,Single,3597,Bachelors,659087,Buyer & retail,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CustId_1009,Devon,Segal,d.segal@nodpublishers.com,783-555-0164,52,13,154599,75589,1,Single,2525,Bachelors,21932,Education officer & museum,FALSE,FALSE,FALSE,FALSE,TRUE,
CustId_1010,Elsie,Ellison,e.ellison@proseware.com,722-555-0199,39,9,197935,19747,1,Single,8809,Masters,547950,Education officer & community,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
CustId_1011,Dora,Patterson,d.patterson@relecloud.com,420-555-0143,64,9,71831,10232-2337,3,Married,80,Masters,246260,Adult nurse,FALSE,FALSE,FALSE,TRUE,FALSE,
CustId_1012,Tracey,Perez,t.perez@tailspintoys.com,791-555-0183,59,5,117347,69178,1,Single,2015,High School,382211,Regulatory affairs officer,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
CustId_1013,Mona,Madden,m.madden@vanarsdelltd.com,441-555-0119,23,30,155361,62814-1710,1,Single,2691,Doctrate,94672,Chartered management accountant,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
CustId_1014,Murray,Pettway,m.pettway@wingtiptoys.com,625-555-0145,44,34,59407,79731,3,Married,3213,Doctrate,249687,Dealer,FALSE,FALSE,FALSE,TRUE,FALSE,
CustId_1015,Lorrie,Franklin,l.franklin@adatum.com,668-555-0178,56,25,160441,77761-3264,4,Married,322,Associate,395302,Print production planner,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
CustId_1016,Dustin,Liddell,d.liddell@adventure-works.com,681-555-0195,27,1,112260,90890,3,Married,3188,Professional,347644,Therapist & speech and language,FALSE,TRUE,TRUE,TRUE,FALSE,
CustId_1017,Courtney,McKee,c.mckee@alpineskihouse.com,641-555-0155,20,9,148084,57824-0930,5,Married,3430,High School,559272,Teacher & primary school,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
CustId_1018,Cathryn,Pickett,c.pickett@bellowscollege.com,744-555-0154,56,13,28441,35046,4,Married,241,Bachelors,662190,Producer & radio,FALSE,TRUE,TRUE,TRUE,FALSE,
CustId_1019,Wilson,Conger,w.conger@bestforyouorganics.com,545-555-0157,26,12,33662,99738,2,Married,6910,Doctrate,310252,Radiation protection practitioner,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
CustId_1020,Sandra,Gay,s.gay@fabrikam.com,664-555-0129,22,35,194069,85366-2178,5,Married,84,Masters,188890,Senior tax professional/tax inspector,FALSE,TRUE,TRUE,TRUE,FALSE,
CustId_1021,Orville,Leake,o.leake@fourthcoffee.com,738-555-0108,36,40,68880,40915-3386,3,Married,2581,Masters,371967,Control and instrumentation engineer,FALSE,TRUE,TRUE,FALSE,FALSE,
CustId_1022,Brigitte,Hobbs,b.hobbs@lamnahealtcare.com,530-555-0106,31,27,56634,96711-3347,2,Married,7696,Doctrate,15443,Make,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
CustId_1023,Beau,Hylton,b.hylton@margiestravel.com,764-555-0178,65,24,15024,03764-4122,1,Single,6946,Bachelors,15982,Chartered public finance accountant,FALSE,TRUE,FALSE,FALSE,FALSE,
CustId_1024,Ivy,Beach,i.beach@nodpublishers.com,550-555-0153,26,4,155703,62523,5,Married,32,Doctrate,443178,Electrical engineer,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
CustId_1025,Melva,Sloan,m.sloan@proseware.com,601-555-0128,51,1,83145,54538,3,Married,5194,Diploma,564315,Museum/gallery exhibitions officer,FALSE,TRUE,FALSE,TRUE,TRUE,
CustId_1026,Deloris,Mueller,d.mueller@relecloud.com,400-555-0170,40,34,134108,54065-9506,5,Married,3899,Professional,566618,Geoscientist,FALSE,FALSE,TRUE,FALSE,FALSE,
CustId_1027,Aileen,Aguirre,a.aguirre@tailspintoys.com,661-555-0103,61,35,105618,89873-3721,1,Single,1900,Diploma,539651,Engineer & structural,FALSE,FALSE,TRUE,TRUE,FALSE,
CustId_1028,Corinne,Nunez,c.nunez@vanarsdelltd.com,773-555-0170,63,24,46714,79989,3,Married,1283,High School,95211,Psychologist & prison and probation services,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CustId_1029,Katrina,McKinney,k.mckinney@wingtiptoys.com,527-555-0133,31,19,36607,14836,5,Married,6554,Masters,512541,Television/film/video producer,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
CustId_1030,Aisha,Newton,a.newton@adatum.com,581-555-0100,70,10,193579,36061-4118,5,Married,9102,High School,436416,Occupational therapist,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
CustId_1031,Iris,Pope,i.pope@adventure-works.com,536-555-0139,61,0,160680,41965,2,Married,7720,Associate,71616,Administrator & local government,FALSE,TRUE,FALSE,FALSE,FALSE,
CustId_1032,Antoine,Lauer,a.lauer@alpineskihouse.com,610-555-0169,59,10,143911,92498,1,Single,5457,Diploma,423959,Dentist,FALSE,TRUE,FALSE,TRUE,TRUE,
CustId_1033,Francisco,Worsham,f.worsham@bellowscollege.com,582-555-0128,45,26,177863,98234,1,Single,8848,Associate,534245,Engineer & maintenance (IT),TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
CustId_1034,Sonja,Arnold,s.arnold@bestforyouorganics.com,700-555-0114,47,5,117104,25922,5,Married,5892,Doctrate,630302,Advertising account executive,FALSE,FALSE,TRUE,FALSE,TRUE,
CustId_1035,Bennie,Stoker,b.stoker@fabrikam.com,674-555-0138,34,12,179291,41523-6511,4,Married,3340,Masters,523096,Meteorologist,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
CustId_1036,Jesse,Overby,j.overby@fourthcoffee.com,594-555-0145,36,2,109489,84684-4019,4,Married,6002,Associate,333025,Water quality scientist,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
CustId_1037,Jon,Dortch,j.dortch@lamnahealtcare.com,416-555-0130,65,21,55250,60895,4,Married,1797,Masters,278738,Landscape architect,FALSE,TRUE,TRUE,TRUE,TRUE,
CustId_1038,Mike,Bui,m.bui@margiestravel.com,563-555-0117,34,24,110214,19918-4955,2,Married,1932,Associate,405208,Higher education lecturer,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
CustId_1039,Corinne,Myers,c.myers@nodpublishers.com,408-555-0127,47,31,165082,75692,1,Single,6057,Bachelors,317583,Quarry manager,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
CustId_1040,Janna,Clements,j.clements@proseware.com,793-555-0112,28,26,184084,76245-0124,5,Married,1075,Professional,208504,Public relations account executive,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
CustId_1041,Desmond,Benefield,d.benefield@relecloud.com,791-555-0103,53,34,158006,93993,1,Single,5776,Doctrate,298418,Retail merchandiser,FALSE,FALSE,TRUE,TRUE,FALSE,
CustId_1042,Ronda,Morin,r.morin@tailspintoys.com,615-555-0184,60,36,101344,09891-3415,1,Single,6576,Masters,293780,Engineering geologist,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
CustId_1043,Russell,Guido,r.guido@vanarsdelltd.com,746-555-0154,22,6,34447,81119-7984,4,Married,1799,Professional,296455,Musician,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
CustId_1044,Muriel,Cherry,m.cherry@wingtiptoys.com,686-555-0102,32,39,165803,95179-9716,1,Single,6046,Masters,506512,Water quality scientist,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
CustId_1045,Terence,Foret,t.foret@adatum.com,561-555-0110,41,3,57900,47330-8723,1,Single,3484,Bachelors,130641,Academic librarian,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CustId_1046,Jayne,Stuart,j.stuart@adventure-works.com,586-555-0149,40,19,163198,47467-5690,2,Married,9507,Doctrate,626179,Psychotherapist & child,FALSE,TRUE,TRUE,TRUE,TRUE,
CustId_1047,Lois,Key,l.key@alpineskihouse.com,627-555-0133,49,37,81581,74860-8507,1,Single,733,Bachelors,401544,Building control surveyor,FALSE,TRUE,TRUE,FALSE,FALSE,
CustId_1048,Lewis,Bartels,l.bartels@bellowscollege.com,687-555-0141,33,9,114922,96292,1,Single,8404,Associate,338188,Biomedical engineer,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
CustId_1049,Ruthie,Coffey,r.coffey@bestforyouorganics.com,403-555-0151,35,40,185327,90700-5486,3,Married,5042,Diploma,221769,Aid worker,FALSE,FALSE,FALSE,TRUE,TRUE,
CustId_1050,Freddy,Nall,f.nall@fabrikam.com,540-555-0150,57,18,172212,47422,1,Single,1312,High School,439433,Designer & graphic,FALSE,FALSE,TRUE,FALSE,FALSE,
CustId_1051,Aimee,Berry,a.berry@fourthcoffee.com,553-555-0124,70,19,198562,08793-9056,5,Married,9504,High School,214124,Geologist & wellsite,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
